prb_id,timestamp,resultset.result.rt,asn
14699,2019-10-05 22:54:48,0.644,20626.0
15820,2019-10-05 22:54:31,13.906,15557.0
17151,2019-10-05 22:54:20,4.219,12322.0
17286,2019-10-05 22:54:12,51.405,49560.0
17286,2019-10-05 22:54:12,1652.17,49560.0
18210,2019-10-05 22:54:10,175.186,205523.0
18210,2019-10-05 22:54:10,82.664,205523.0
19878,2019-10-05 22:54:31,87.403,60072.0
2014,2019-10-05 22:54:13,70.643,25376.0
2039,2019-10-05 22:54:07,48.895,31424.0
2039,2019-10-05 22:54:07,49.17,31424.0
2039,2019-10-05 22:54:07,11.032,31424.0
23223,2019-10-05 22:54:34,172.097,2119.0
23223,2019-10-05 22:54:34,23.816,2119.0
2366,2019-10-05 22:54:18,79.941,3329.0
25819,2019-10-05 22:54:07,270.759,nan
27793,2019-10-05 22:54:55,56.345,3209.0
27793,2019-10-05 22:54:55,1.895,3209.0
31566,2019-10-05 22:54:47,1089.868,24186.0
32715,2019-10-05 22:54:45,58.936,29670.0
32715,2019-10-05 22:54:45,24.608,29670.0
35087,2019-10-05 22:54:30,33.775,5610.0
35087,2019-10-05 22:54:30,32.971,5610.0
35087,2019-10-05 22:54:30,68.584,5610.0
50028,2019-10-05 22:54:40,1094.023,55850.0
50028,2019-10-05 22:54:40,1170.036,55850.0
50028,2019-10-05 22:54:40,1.243,55850.0
50544,2019-10-05 22:54:43,46.45,15557.0
50544,2019-10-05 22:54:43,14.341,15557.0
51317,2019-10-05 22:54:39,315.68,9976.0
51317,2019-10-05 22:54:39,301.464,9976.0
51329,2019-10-05 22:54:18,234.89,2516.0
51637,2019-10-05 22:54:45,94.005,206008.0
51637,2019-10-05 22:54:45,1.496,206008.0
6079,2019-10-05 22:54:44,100.199,3265.0
6079,2019-10-05 22:54:44,4.165,3265.0
6079,2019-10-05 22:54:44,21.249,3265.0
