ASN,Users (est.)
9230,32448
137110,32434
137432,32417
266877,32414
57101,32411
20771,32390
48940,32388
205439,32366
48252,32365
45110,32363
264778,32363
48957,32350
57587,32345
28009,32345
8990,32344
268430,32324
51937,32312
51582,32288
133954,32279
15311,32278
135092,32271
263534,32255
12119,32248
55286,32246
56465,32244
263649,32238
264069,32238
35706,32233
13760,32219
6058,32173
35000,32170
197298,32170
265973,32169
51684,32156
139294,32151
53090,32134
53160,32117
39578,32104
15638,32104
22799,32091
262569,32083
204957,32069
28283,32048
44032,32039
199833,32017
134153,32016
263959,32014
27851,32001
262287,31971
28178,31945
52253,31932
52807,31928
28100,31916
139600,31906
28376,31905
264589,31893
16028,31892
12767,31892
209835,31878
133315,31870
264768,31860
23910,31859
8847,31859
327892,31842
262346,31841
263537,31841
268480,31807
61700,31807
50500,31806
8771,31805
266698,31782
61154,31776
264255,31773
263791,31769
50187,31755
44267,31755
202050,31746
262734,31738
264562,31738
24413,31733
57864,31729
19148,31701
48573,31689
263809,31685
140523,31676
28349,31669
24255,31658
3339,31644
262590,31635
131958,31627
134771,31607
27845,31580
206262,31572
31581,31569
264420,31566
199155,31546
6315,31522
267345,31497
196777,31486
266054,31480
61663,31480
37892,31470
37236,31463
267672,31411
395075,31380
263586,31376
262287,31376
23404,31373
265268,31359
24337,31355
131927,31345
328442,31342
262812,31325
7477,31321
62904,31321
35179,31308
204929,31281
197078,31274
204873,31263
393238,31258
135810,31257
37697,31250
53052,31238
266284,31238
10242,31223
45102,31223
136454,31200
138974,31193
266592,31187
53813,31180
36492,31170
269509,31152
49478,31122
52609,31118
21704,31114
35506,31091
10279,31068
262374,31066
37475,31065
265315,31049
34038,31034
266468,31014
51655,31012
49808,30995
267864,30983
267055,30963
8220,30960
12042,30958
23786,30937
41496,30935
268054,30928
58224,30911
40749,30906
51214,30903
48166,30903
16285,30903
24165,30885
45102,30881
30860,30880
262391,30877
138109,30854
12360,30849
137579,30849
30848,30800
42148,30794
266130,30790
1246,30785
37622,30784
132897,30776
45250,30775
27792,30744
140849,30737
136734,30727
27940,30688
19165,30670
56400,30652
31430,30641
57534,30641
267442,30635
137403,30630
42908,30623
54290,30618
64063,30611
52696,30584
136902,30579
59713,30576
28378,30568
52195,30567
42666,30564
134866,30563
395354,30532
7049,30523
267398,30515
262352,30497
21859,30467
263616,30446
52682,30446
262617,30429
136167,30425
36905,30411
265272,30411
2386,30405
8680,30385
17573,30373
18712,30359
263801,30358
10164,30353
202004,30326
42713,30323
131916,30310
42526,30292
263373,30291
53199,30273
262730,30256
139981,30249
263566,30239
267845,30235
51399,30235
38680,30216
34577,30206
57910,30186
23682,30178
49242,30175
36909,30173
263558,30170
50060,30139
31370,30139
37425,30106
262539,30101
62943,30100
16030,30096
267994,30067
11550,30066
202422,30060
12312,30055
266853,30050
48953,30041
61890,30015
265711,30000
267974,29981
53110,29981
33438,29966
263181,29958
269246,29929
47887,29928
14813,29913
264926,29877
198726,29873
18134,29872
134990,29868
49054,29862
269073,29860
203972,29811
31724,29811
43764,29803
57388,29766
136538,29763
263146,29757
64037,29756
264337,29739
24342,29737
139418,29729
134259,29696
267756,29694
262427,29688
268267,29688
269558,29670
53237,29653
131950,29652
26253,29640
265936,29636
61871,29619
31028,29571
7311,29555
17469,29555
25144,29543
263694,29539
22457,29537
262867,29533
52709,29533
20723,29525
328581,29520
136450,29515
262682,29515
49985,29511
8075,29511
31376,29505
135692,29475
262492,29464
134884,29451
264162,29446
263608,29429
35916,29404
15763,29397
53053,29395
265561,29393
37558,29373
134226,29366
58543,29340
267530,29326
28233,29326
13106,29318
34123,29309
15975,29297
134802,29292
53196,29291
267199,29291
136783,29275
136557,29267
138543,29255
262715,29240
59931,29233
136215,29218
133119,29215
263982,29205
49821,29200
8774,29200
27997,29179
266015,29171
263110,29171
7506,29151
9326,29143
140229,29126
131607,29117
263737,29102
24685,29098
396982,29073
25933,29067
38571,29067
16097,29057
136022,29038
202498,29003
52527,28998
269953,28989
64075,28981
262407,28981
135298,28964
21351,28958
51792,28951
263626,28947
51273,28947
34606,28944
31364,28938
25408,28938
17716,28915
266233,28912
264570,28912
49325,28894
20473,28881
135854,28879
133076,28869
21782,28868
52962,28861
268737,28861
135876,28854
35645,28850
44927,28850
264273,28843
262285,28843
32953,28822
55814,28813
271038,28792
52812,28774
37287,28772
141253,28764
49732,28763
263230,28744
266436,28740
14928,28736
264681,28721
139008,28720
7203,28701
267857,28690
7040,28661
21056,28641
9441,28638
15130,28626
263154,28619
203675,28616
136634,28609
205714,28596
41931,28588
134307,28584
135130,28579
52545,28568
52999,28550
43578,28548
134326,28544
139870,28534
24282,28524
266453,28516
136395,28510
267544,28499
264239,28499
12989,28494
328061,28494
174,28488
33894,28479
27787,28478
395570,28470
262592,28464
49461,28462
4768,28461
1820,28454
42765,28435
3225,28414
53142,28413
12688,28413
263611,28413
47883,28397
268056,28378
14457,28361
134335,28355
262594,28344
6846,28333
264609,28332
42965,28331
328228,28328
266304,28326
44482,28310
12876,28310
36916,28306
264369,28292
49332,28280
267503,28275
267203,28240
12693,28240
18318,28231
262832,28223
136030,28215
262505,28206
205718,28206
62013,28201
47118,28195
197311,28195
43060,28195
12754,28171
12208,28166
45701,28145
263774,28141
52532,28137
197524,28127
262632,28120
52991,28120
262543,28102
268875,28102
57013,28102
58065,28094
52043,28086
48470,28086
61942,28068
42514,28064
13825,28062
48004,28060
41871,28045
45996,28039
41985,28037
10835,28027
28244,27982
263623,27982
266650,27982
266314,27965
56370,27961
31404,27957
328250,27937
263328,27930
265086,27913
264120,27913
30793,27893
52398,27893
33874,27890
197722,27882
24154,27868
34383,27865
39529,27848
267590,27844
47203,27840
270360,27827
139735,27826
201476,27815
53180,27810
133270,27800
135654,27790
37430,27790
38875,27788
265139,27775
56433,27772
131915,27771
44291,27764
208142,27758
31388,27749
2152,27722
263057,27706
17598,27697
49981,27690
53123,27689
8075,27677
28832,27671
25596,27659
18103,27655
12722,27627
262360,27620
265958,27620
267433,27603
62044,27596
15169,27586
22750,27582
132225,27578
141271,27563
42232,27556
53236,27551
12418,27540
24271,27521
138368,27514
135776,27514
50181,27510
133248,27505
268608,27499
265472,27499
262428,27499
34781,27474
262750,27465
18129,27458
137693,27452
263668,27413
201123,27409
263634,27396
132203,27394
8870,27385
264014,27379
43708,27358
267474,27310
138600,27305
50411,27304
52916,27293
266832,27291
265804,27278
137409,27276
13189,27268
45355,27268
29070,27267
266438,27258
41371,27226
269220,27224
266152,27206
328399,27185
5577,27173
30779,27166
135714,27154
4668,27142
41966,27137
17597,27135
43258,27135
265632,27120
55423,27116
262681,27103
53138,27086
59574,27081
54665,27077
197015,27075
14828,27072
34754,27061
21947,27060
267594,27051
135420,27041
140457,27039
50771,27037
52751,27034
31404,27027
38095,27026
59276,27026
197637,27015
264514,27000
134749,26981
39005,26971
58558,26966
54994,26948
398721,26937
328073,26908
23778,26894
267106,26862
52471,26852
53178,26845
267713,26842
39120,26840
8220,26834
37414,26834
15169,26833
26727,26830
269264,26827
203971,26811
62887,26795
266915,26793
1640,26784
268659,26776
263641,26776
61726,26758
136795,26748
49776,26710
264316,26707
51500,26703
138658,26696
63888,26695
265398,26690
209046,26680
9569,26677
263567,26655
52602,26655
328469,26653
8752,26644
53158,26638
262970,26621
206774,26606
263905,26586
31531,26582
327907,26581
12952,26580
60245,26579
268561,26552
41378,26549
268952,26534
393552,26531
9085,26518
269212,26517
266366,26517
9136,26516
39431,26506
265038,26500
42739,26488
59861,26484
53088,26466
268617,26466
12727,26460
18075,26455
42991,26443
13335,26431
16044,26430
44943,26426
50825,26417
266268,26414
39709,26404
50867,26404
262952,26379
265434,26379
138272,26369
265215,26362
18094,26361
50928,26360
262304,26345
264212,26345
57800,26339
49770,26312
140989,26296
262557,26293
36911,26293
40676,26293
204297,26273
21040,26273
18281,26267
262239,26254
131306,26249
264193,26242
35518,26242
265363,26242
48422,26241
39264,26229
50204,26226
25921,26220
208448,26190
267452,26173
269128,26173
138385,26165
51812,26164
29007,26155
264001,26155
52659,26121
50577,26120
9698,26115
47359,26112
39354,26102
269806,26089
197227,26080
42781,26080
61317,26070
269831,26056
262485,26052
1213,26040
264508,26035
7925,26030
22313,26028
132547,26026
52322,26014
35908,26012
42518,26011
133674,26001
263236,25993
49020,25975
28657,25966
55879,25952
2108,25935
263099,25931
42511,25924
264460,25914
263342,25914
264732,25909
136419,25903
29066,25897
60098,25880
48574,25876
264260,25862
267992,25862
267201,25862
28154,25845
52564,25828
55387,25828
61820,25828
140923,25827
29013,25824
38096,25814
270929,25794
266894,25783
271268,25776
264319,25776
267016,25776
30432,25771
23629,25765
328140,25762
266440,25759
2914,25755
41549,25749
264023,25742
52687,25742
328278,25736
267378,25725
43667,25705
17958,25703
28111,25699
264114,25690
137101,25666
20539,25665
265897,25656
262496,25656
47282,25640
262322,25638
13807,25632
34056,25627
51653,25626
263270,25621
264310,25621
34248,25612
52824,25604
37714,25598
8680,25583
17781,25563
50949,25559
49044,25553
42235,25547
7575,25542
60404,25537
7131,25535
41302,25530
59443,25518
263935,25501
269360,25501
202838,25487
265194,25449
263037,25449
50685,25415
43714,25378
37381,25356
42905,25354
138492,25339
207558,25339
53045,25328
264042,25328
328475,25327
50925,25306
48507,25290
138596,25288
43513,25285
23700,25281
264494,25277
12355,25269
48123,25268
58912,25261
52858,25259
328001,25253
327984,25253
20299,25252
137895,25250
133226,25249
141077,25249
134004,25233
266148,25225
56724,25225
59890,25219
139766,25211
266539,25208
262549,25208
136332,25192
36881,25189
30822,25187
37141,25185
9392,25185
24758,25181
35325,25180
198605,25177
9751,25176
264915,25173
263632,25156
18859,25149
395437,25143
28761,25137
64315,25128
18187,25091
270714,25087
52650,25087
55853,25080
10011,25076
269104,25070
267336,25070
24427,25059
36351,25059
55872,25058
264275,25053
200814,25043
49056,25030
13335,25022
266516,25018
17806,25018
22616,25010
26133,25005
133680,25004
58254,24996
265377,24984
266350,24984
39375,24977
26794,24964
205367,24958
52944,24949
264204,24949
264932,24949
44513,24942
52327,24941
269595,24932
268707,24932
38673,24931
28225,24915
136156,24911
264963,24898
211970,24881
136384,24856
47531,24853
269662,24846
22616,24839
34896,24832
33796,24825
268421,24811
134883,24775
48124,24766
13155,24766
30612,24763
53147,24760
15011,24757
61805,24742
140611,24742
61317,24731
51765,24700
56377,24679
262687,24674
266668,24660
59504,24657
11727,24657
270868,24656
262648,24656
58328,24639
265015,24639
206920,24625
31127,24624
31939,24607
37123,24592
137163,24571
51681,24570
263917,24570
135572,24555
262482,24553
206092,24528
61490,24520
51341,24504
202441,24486
262497,24467
56487,24460
8641,24438
48475,24438
42892,24417
267513,24398
262898,24398
48000,24395
135124,24395
16178,24381
264998,24381
53050,24381
20807,24373
42828,24357
30881,24351
20811,24351
61754,24329
52878,24329
265462,24329
41081,24323
56515,24312
268999,24312
133480,24309
207044,24297
39647,24296
267221,24294
141995,24281
264386,24277
48659,24266
43314,24264
264783,24263
40237,24256
59888,24247
48917,24244
205048,24240
52781,24226
263102,24226
28708,24224
52660,24208
53094,24208
263671,24208
51477,24198
204279,24189
28431,24171
263476,24157
34285,24156
136406,24154
135554,24149
203088,24141
137818,24140
57728,24136
139722,24136
1835,24124
203399,24124
268943,24122
52956,24105
328271,24093
136287,24089
266196,24088
28038,24085
263244,24085
12231,24084
10002,24073
263463,24070
135212,24056
35608,24045
41872,24024
265141,24019
52772,24019
263349,24019
52544,24002
26292,23997
137568,23988
61914,23984
9927,23981
61668,23967
8661,23966
53435,23963
266809,23953
52695,23950
34471,23940
9922,23939
41771,23936
42922,23936
263332,23933
28926,23921
265799,23914
2381,23911
32475,23903
267521,23898
263269,23898
264457,23881
48629,23880
263067,23864
267815,23854
267335,23846
267602,23846
47217,23842
327871,23841
204144,23838
59577,23838
139282,23824
264486,23812
269433,23812
28218,23812
18988,23808
52850,23795
140080,23781
270963,23778
25233,23769
262834,23760
14265,23750
43022,23747
206092,23745
53231,23743
264619,23741
265962,23726
263019,23726
131215,23721
52690,23709
262635,23709
267156,23709
265592,23704
45374,23699
266716,23695
263631,23674
38172,23655
265205,23640
17310,23640
134540,23639
45648,23639
136009,23636
201770,23618
37209,23616
50751,23611
37150,23597
23578,23596
16628,23588
44695,23588
41743,23587
49620,23573
207889,23573
267552,23571
262756,23571
22408,23571
27987,23558
267456,23554
268568,23554
11979,23548
141039,23537
262409,23536
9524,23528
57808,23521
61317,23511
137678,23500
197979,23496
197433,23489
3549,23475
42938,23456
25133,23451
52663,23450
139498,23418
262901,23416
57333,23390
22051,23352
267051,23347
29436,23338
9142,23329
197077,23328
137443,23318
16700,23318
52268,23313
52611,23312
28213,23312
50427,23303
9814,23296
204957,23295
50633,23292
136027,23288
20598,23268
268100,23261
263049,23261
24945,23254
327863,23240
48441,23237
48858,23237
268268,23226
47513,23224
41575,23215
42498,23215
27789,23211
14463,23209
22742,23185
57353,23182
264646,23179
61901,23175
28257,23175
269466,23157
269804,23145
52744,23140
36728,23134
28854,23131
208031,23128
266194,23123
141339,23116
395846,23111
263035,23106
263369,23106
52413,23102
39440,23100
327725,23097
196767,23088
45355,23081
28361,23071
45267,23047
34857,23027
134134,23014
31510,23009
20278,23007
17936,23007
201466,23004
196821,23003
62040,22997
50780,22997
34093,22996
266013,22985
36290,22976
267997,22968
197697,22952
328320,22942
37276,22924
206283,22924
12626,22915
135413,22902
36374,22886
33647,22880
204731,22879
206666,22879
13319,22878
11084,22878
18046,22873
29684,22856
34705,22848
135223,22846
52354,22842
53191,22830
265329,22830
203695,22822
328351,22804
37965,22792
44124,22786
35004,22784
38750,22776
36958,22760
3549,22751
263492,22744
268311,22744
266435,22744
269615,22744
265570,22735
52873,22727
12530,22724
207830,22716
263086,22709
21228,22709
376,22705
60068,22698
12963,22694
263443,22692
53347,22690
30165,22684
36902,22683
33548,22679
262775,22675
9009,22670
270068,22669
33871,22669
44692,22665
265606,22664
30982,22663
268085,22658
138551,22657
25764,22650
52369,22646
48438,22640
263648,22623
264538,22623
56017,22616
268795,22606
266608,22606
39869,22604
205544,22595
134177,22593
24822,22590
51547,22582
237,22558
263040,22554
270237,22554
60068,22550
137969,22540
59043,22540
24529,22534
50362,22519
52352,22506
133593,22503
57869,22495
268158,22485
8788,22481
56484,22478
46293,22477
50635,22477
13855,22477
204356,22475
50911,22473
262434,22468
203716,22466
198356,22459
264814,22454
44512,22426
262318,22416
41557,22409
35067,22398
12033,22397
263599,22382
15169,22380
24259,22380
9340,22371
265258,22365
45675,22349
262685,22347
21479,22342
60203,22338
263474,22330
34351,22320
262700,22313
265905,22313
263213,22302
60072,22298
396420,22294
58593,22289
29667,22288
208955,22276
265705,22265
64072,22262
140401,22256
49560,22244
269797,22242
10352,22241
48427,22230
52829,22227
47474,22223
205800,22221
43594,22211
27941,22210
262674,22210
141324,22200
61240,22193
135801,22192
52859,22192
58158,22189
48926,22183
19201,22178
137553,22172
139958,22171
62440,22167
263656,22158
52758,22158
266812,22151
28229,22141
12611,22116
30325,22109
39405,22101
134201,22100
262311,22089
47656,22080
47321,22080
267611,22072
17494,22070
42848,22056
262620,22055
327972,22046
32444,22045
7676,22035
267546,22020
53233,22020
269608,22020
37614,22007
61828,22003
51184,21999
37280,21995
62423,21992
35205,21980
199276,21980
139904,21980
263681,21976
61873,21968
263339,21968
263824,21960
268283,21951
263415,21951
268429,21951
266240,21951
45345,21949
62874,21947
56224,21939
714,21930
42916,21927
44209,21920
266920,21917
263442,21917
264440,21917
7690,21910
6639,21900
263478,21899
264106,21899
262231,21895
134021,21890
137121,21890
37266,21889
59533,21883
47283,21867
263388,21865
262665,21865
62033,21852
203704,21852
265294,21848
41360,21845
52193,21840
32867,21832
27877,21832
11961,21832
264765,21825
59129,21816
205016,21815
8779,21814
41631,21807
51993,21799
38121,21789
16028,21778
264544,21762
50316,21752
12436,21752
269894,21751
60471,21748
269109,21744
63980,21738
24811,21730
53848,21723
49544,21718
14543,21711
25780,21700
28326,21693
133331,21689
197248,21684
209699,21661
264238,21658
262372,21658
47119,21643
57049,21632
53170,21624
137826,21624
266465,21624
16117,21623
16301,21621
44914,21607
270692,21607
15683,21602
35530,21602
47286,21599
9821,21597
17955,21596
267211,21589
28128,21589
267578,21572
264288,21572
263042,21572
17586,21570
31898,21563
35007,21562
61570,21555
134312,21546
266141,21538
265630,21537
57608,21532
9848,21529
328317,21527
378,21519
269940,21515
397068,21510
131183,21508
48506,21506
28165,21503
139825,21495
24739,21490
211986,21483
59652,21473
269742,21469
263087,21469
15868,21468
52286,21465
16006,21446
14178,21434
262761,21434
28439,21434
270429,21434
263209,21432
263462,21417
18239,21407
136712,21391
14677,21389
264796,21384
265738,21383
50401,21382
208087,21381
265140,21365
44172,21337
263948,21331
28647,21331
25190,21325
208131,21317
49392,21314
47223,21290
24362,21281
52819,21279
60999,21272
12150,21270
140448,21264
263466,21262
137587,21260
59702,21256
196739,21250
266003,21245
139780,21239
266769,21228
136780,21219
60068,21209
45193,21199
56204,21193
35213,21193
268960,21193
23627,21189
46562,21189
33923,21184
26288,21181
263499,21176
268577,21176
267832,21174
24751,21166
393442,21164
21949,21163
22639,21163
45382,21152
52433,21144
61573,21141
31638,21134
135258,21130
52428,21130
47193,21119
48149,21119
21032,21118
12261,21101
6704,21097
62044,21096
5602,21092
138465,21091
202015,21090
28255,21090
262624,21090
9678,21086
263778,21081
45400,21077
262728,21072
15713,21071
17069,21053
48612,21053
197695,21053
20904,21038
45062,21029
327987,21027
141322,21023
264025,21021
328571,21018
57121,21018
13333,21015
13692,21009
138146,21004
262805,21003
267614,21003
200357,20996
263749,20989
62211,20988
23584,20988
27693,20986
264821,20984
136365,20982
138737,20982
131293,20980
138343,20974
135743,20958
27960,20955
266492,20952
42714,20950
263218,20948
47273,20942
199524,20942
263686,20941
1273,20931
52409,20920
263943,20917
43959,20907
27650,20904
61317,20898
208339,20896
20283,20877
39402,20873
262596,20866
262903,20848
265185,20848
43092,20844
28187,20831
57093,20829
35356,20828
43153,20821
263294,20814
44963,20813
269161,20797
197035,20783
35549,20782
24207,20781
21263,20777
48544,20776
212280,20768
34295,20767
266028,20762
141398,20757
13170,20746
52860,20745
269215,20745
52339,20737
136362,20729
267629,20728
60068,20716
30236,20716
267464,20711
8075,20711
263754,20695
135852,20688
328781,20687
198967,20687
263919,20676
264384,20676
32645,20664
197897,20658
135391,20652
29039,20650
21100,20650
266494,20642
266914,20642
201825,20638
266332,20624
200924,20619
141194,20616
51896,20614
45786,20611
47452,20604
42189,20601
137975,20601
204957,20601
202293,20598
327700,20596
263950,20590
265777,20583
31404,20575
4826,20560
270301,20555
24559,20550
26919,20548
202914,20546
264202,20538
43420,20534
29491,20533
29027,20533
51133,20529
56534,20529
40098,20525
266551,20521
60398,20515
45043,20511
210070,20505
28279,20504
262821,20504
264663,20497
264321,20487
140084,20482
60187,20481
262690,20469
263636,20469
53271,20462
57982,20457
28241,20452
266275,20452
271069,20452
137561,20448
264568,20435
268689,20435
9647,20433
16347,20424
53189,20400
140992,20394
132280,20386
131597,20385
265937,20383
269685,20383
264485,20383
16229,20379
137396,20368
131247,20366
57871,20354
200513,20354
266943,20349
263601,20349
199319,20338
29226,20333
267955,20331
264927,20331
269174,20331
206092,20322
37002,20312
264404,20297
25491,20283
29286,20281
266498,20280
141346,20271
33339,20266
268509,20263
28546,20250
60032,20248
36988,20245
41034,20245
266806,20239
49101,20230
268817,20228
57422,20215
200414,20202
7005,20197
201041,20177
37665,20171
140469,20170
48278,20162
202913,20160
266236,20159
53048,20159
48661,20144
266447,20142
263167,20142
262723,20142
44061,20141
268613,20125
265348,20125
134343,20116
51158,20114
13638,20105
61478,20102
42541,20095
43197,20092
263587,20090
262527,20073
265158,20073
398844,20070
44272,20061
22191,20059
200354,20056
264952,20056
31261,20049
196638,20049
264774,20049
209380,20045
210003,20040
263054,20039
266568,20039
264051,20039
54994,20036
11594,20036
131952,20029
197336,20021
37449,20019
6966,20019
8308,20005
48320,20005
31263,19992
263155,19987
266471,19987
11139,19965
136907,19964
39939,19961
198004,19960
133800,19958
327692,19957
48830,19955
266103,19952
263517,19952
132092,19950
205673,19950
49112,19945
267076,19935
264936,19935
270751,19935
263907,19935
269783,19932
13335,19927
266772,19923
135735,19920
264449,19918
268207,19918
58405,19912
59616,19896
17775,19896
267916,19889
262644,19883
267429,19883
13113,19882
52941,19866
25549,19852
264352,19849
197688,19843
264406,19832
262491,19832
25082,19828
50482,19825
134304,19822
266137,19815
26223,19806
3356,19797
269528,19797
262591,19797
9009,19789
206866,19782
265435,19780
202297,19774
11878,19765
37100,19765
263514,19763
268099,19763
10292,19729
139280,19716
262213,19711
263028,19711
262587,19711
132652,19698
35199,19688
9621,19684
39273,19683
327808,19681
263400,19677
270796,19659
47245,19654
24349,19644
136266,19626
266441,19625
267332,19625
48909,19612
262683,19608
52904,19608
29405,19604
197623,19601
269749,19587
201525,19567
327717,19557
33132,19552
41967,19510
57718,19507
270861,19504
200982,19503
18618,19495
34629,19481
263464,19470
267665,19453
203257,19453
264731,19452
52761,19435
38524,19432
13614,19431
270277,19418
52566,19418
205005,19415
327922,19405
199496,19404
268404,19401
61910,19401
267564,19401
262343,19401
38120,19400
202448,19394
262744,19384
327879,19381
328488,19380
16397,19367
263852,19367
396338,19366
23671,19366
54858,19357
211413,19355
57960,19351
52951,19349
38031,19347
62091,19336
262537,19332
38934,19328
44566,19328
136639,19323
266129,19315
61704,19298
21837,19293
50776,19284
9009,19284
47551,19284
265724,19271
3549,19266
20255,19265
197833,19265
47954,19262
53223,19229
266423,19229
262498,19229
204496,19219
198605,19212
262854,19211
262733,19211
264824,19197
28341,19194
35238,19194
46475,19184
264491,19177
141361,19166
52116,19161
265172,19160
265407,19143
28224,19143
267175,19143
5394,19140
53813,19137
203020,19135
28964,19130
61931,19125
132585,19120
197826,19110
208397,19101
53764,19096
265457,19091
42574,19088
8560,19086
28639,19074
263934,19074
44270,19066
24251,19057
51960,19053
25222,19047
262643,19039
13092,19029
263650,19022
49465,19017
40020,19011
262887,19005
266345,19005
2526,18995
23158,18988
48043,18978
7250,18977
5396,18975
263926,18970
35714,18964
138730,18963
266880,18958
21859,18957
29255,18957
268925,18953
263222,18949
262259,18948
57112,18937
60609,18936
8595,18935
264571,18919
3262,18918
34989,18915
24122,18912
196906,18904
37182,18901
52718,18901
45287,18900
328331,18885
267032,18884
269138,18884
266340,18884
137404,18871
49893,18869
268038,18867
10971,18861
15054,18856
263525,18850
6429,18850
269444,18850
15930,18847
19751,18844
263990,18832
270814,18832
61826,18832
61745,18815
1237,18804
265689,18800
265429,18798
264195,18798
44668,18797
199524,18792
12810,18779
23780,18775
56002,18763
31856,18762
8075,18755
139806,18747
11831,18746
14288,18746
224,18746
25386,18744
62360,18744
133713,18743
10054,18743
52495,18737
57760,18718
58065,18718
24277,18713
59833,18707
265634,18702
30801,18699
137515,18693
62651,18683
266710,18681
266055,18677
269359,18677
267477,18677
131717,18676
139832,18672
24916,18671
267869,18671
9785,18658
55828,18653
328207,18650
3663,18648
37073,18647
37605,18647
51101,18645
12829,18642
55461,18637
197704,18630
50564,18630
139053,18627
52989,18626
56566,18619
137935,18608
140843,18606
263022,18591
264284,18591
39047,18585
21447,18585
8570,18585
394972,18574
133317,18571
44134,18569
30855,18564
202870,18562
266260,18557
32020,18556
37219,18546
40933,18545
42013,18540
19605,18516
63199,18511
30975,18510
262478,18505
138871,18495
198187,18494
36549,18493
267186,18488
28252,18488
2614,18487
271874,18486
49743,18479
134258,18473
48045,18472
61851,18471
49290,18464
52173,18457
59637,18454
262619,18453
136759,18449
42000,18448
18779,18441
262480,18436
61510,18435
29321,18434
43452,18434
28745,18432
37717,18414
134585,18410
49158,18407
52945,18402
269094,18402
5385,18401
266104,18384
52748,18384
265817,18365
8075,18364
265657,18359
8968,18356
31404,18350
141127,18350
17253,18337
208972,18336
268141,18333
267904,18329
37546,18319
263557,18316
136479,18311
138150,18306
31593,18305
23772,18301
4802,18287
15100,18286
207304,18274
19009,18268
208708,18267
264906,18264
52420,18260
50247,18253
327754,18250
265978,18247
264009,18247
137829,18245
12683,18236
206448,18236
327983,18232
263015,18229
30110,18222
57798,18214
61649,18212
263531,18212
30983,18212
131931,18211
52930,18195
35613,18191
35046,18191
136308,18187
197602,18184
23520,18183
48667,18170
8368,18170
41356,18162
265130,18160
266584,18160
58130,18153
135449,18150
35132,18148
23628,18148
265705,18146
262320,18143
23481,18142
50994,18132
60636,18130
263573,18126
266020,18126
7600,18120
16178,18117
135339,18115
63844,18113
269597,18109
204811,18108
139741,18092
28387,18088
51997,18087
31898,18067
263223,18067
57344,18065
56667,18061
44923,18061
270252,18057
265499,18057
135808,18056
44443,18055
200810,18054
393467,18044
45780,18043
133469,18040
265041,18040
262550,18040
57712,18039
34092,18032
37429,18032
52320,18031
11071,18027
270316,18023
52651,18023
49759,18018
200802,18018
138276,18015
139982,18011
263433,18005
50606,17996
22792,17992
61858,17988
28352,17988
52300,17986
135848,17983
47206,17981
39169,17979
56404,17979
58134,17974
60876,17968
135699,17958
44068,17952
15870,17952
267878,17951
134897,17950
268598,17936
262725,17919
6702,17918
23188,17911
9177,17908
266734,17907
42083,17907
197667,17905
37172,17905
328333,17905
262809,17902
264301,17902
265277,17902
24313,17901
136625,17893
50126,17886
28163,17885
60725,17884
63629,17881
31642,17872
46231,17871
61367,17868
264297,17868
47939,17858
17625,17852
135600,17842
61822,17833
135845,17819
266514,17816
264381,17816
264246,17816
134032,17811
9757,17805
17911,17804
53096,17799
197643,17789
28610,17781
268692,17781
265423,17781
17293,17773
262530,17764
61940,17764
34610,17762
264949,17747
140981,17745
196961,17741
137862,17739
22616,17738
41709,17734
262769,17730
57133,17727
46026,17727
397545,17724
212463,17721
23105,17695
6233,17693
52507,17691
57781,17690
137681,17688
47889,17683
16245,17668
262324,17661
264900,17661
23316,17658
45433,17656
263698,17650
21571,17626
51112,17624
200738,17622
265524,17621
266401,17609
61648,17609
16717,17600
141014,17598
264566,17592
31349,17592
137824,17592
38097,17586
24556,17578
262286,17575
53149,17575
199493,17565
49107,17559
28328,17557
61900,17557
262764,17557
267297,17557
39413,17554
137530,17550
35434,17542
262418,17540
263436,17540
268791,17540
37163,17534
206910,17527
52790,17523
267657,17523
136438,17523
20473,17523
262877,17523
41068,17520
9583,17508
267395,17506
268546,17506
24355,17503
56791,17493
139335,17492
270587,17488
269424,17488
270533,17488
198227,17486
32133,17480
134090,17478
49491,17471
268205,17471
197674,17468
201925,17467
9871,17463
57962,17463
17726,17456
263402,17454
265417,17454
267090,17454
49120,17450
135037,17448
51522,17441
269756,17441
266178,17437
262676,17437
53234,17420
265336,17420
54182,17414
20626,17413
328388,17404
16532,17395
50349,17391
30041,17387
52924,17385
270704,17385
264565,17385
38201,17384
17049,17382
18245,17377
38364,17377
36982,17370
263496,17368
262367,17368
61275,17361
267788,17348
59744,17340
264547,17333
267074,17333
263929,17316
265106,17316
264500,17316
263383,17316
199723,17301
262861,17299
57324,17296
271898,17287
61939,17282
267038,17282
268628,17282
53245,17282
63945,17278
197628,17275
2504,17271
265319,17264
268479,17264
266978,17264
202766,17262
136986,17253
58002,17253
17429,17251
269162,17247
135126,17234
263311,17230
395127,17222
51622,17221
37363,17215
264116,17213
268101,17213
136897,17208
267699,17208
1764,17202
35370,17202
138774,17198
29687,17197
53139,17196
37638,17190
134971,17186
18624,17186
264599,17178
28288,17178
267453,17178
61761,17178
47800,17175
13287,17172
138022,17168
43653,17151
200735,17148
6939,17145
52419,17144
135527,17142
45061,17126
264426,17109
262353,17109
1239,17100
196838,17099
136380,17098
266754,17095
6740,17093
15874,17089
328376,17081
139421,17080
44882,17078
267638,17075
200939,17075
262575,17075
21559,17073
37512,17071
