ASN,Users (est.)
264731,2027409
37440,2003699
19108,2000811
9038,1999840
45498,1988672
206026,1980330
6871,1976384
14061,1971475
12302,1967630
37447,1966773
134775,1956778
21497,1932037
132165,1923764
36962,1923645
25106,1920914
28118,1904865
8412,1883259
31163,1873110
39832,1871850
37168,1864238
5378,1855167
134543,1851377
12353,1847677
23860,1799874
131429,1795138
17962,1791688
28787,1790798
17506,1789311
37076,1782467
4771,1778063
36890,1757825
31213,1755065
35228,1755038
18126,1750631
719,1750486
8953,1744952
16019,1738510
2519,1732326
264668,1724951
29357,1723356
136198,1715754
15802,1714036
3786,1711881
265540,1696325
42961,1695151
5610,1689766
42298,1689182
8376,1679697
18209,1673298
47589,1668290
23243,1654623
48190,1647677
6855,1635471
45356,1630296
37069,1624280
133696,1622128
12271,1620867
206067,1615432
24139,1614887
7029,1609398
50010,1601670
12400,1597529
31042,1594948
9009,1582365
30036,1568738
28006,1553740
63859,1544566
4760,1530433
48092,1526771
52341,1521107
24186,1520458
37492,1518159
140308,1515908
39651,1475722
8551,1472717
133287,1469967
37693,1467259
29256,1465138
132525,1459619
21299,1452553
6849,1448702
45543,1441636
136199,1431915
21334,1429773
9617,1424547
20845,1415580
17451,1411476
64466,1406218
16010,1403563
27901,1389125
137226,1388887
12978,1388638
24157,1383429
28884,1378630
16086,1375252
2119,1370820
37611,1368087
29355,1367077
34058,1366461
3329,1363619
39832,1362791
42772,1351010
4685,1347876
55577,1342949
138384,1342046
37963,1329536
14754,1323415
20661,1322359
11830,1316829
37424,1316300
2497,1314212
25543,1307457
8447,1306880
27895,1303570
37461,1299700
6730,1295428
18809,1290758
135300,1285900
1680,1285070
22884,1273621
9329,1266816
262186,1265323
36907,1264824
10010,1259357
137687,1256876
37030,1254525
58466,1251713
262210,1251703
15378,1247830
25255,1240755
37294,1220118
16960,1219894
29314,1218638
8866,1217620
17670,1214475
25229,1213022
1759,1194817
7438,1182309
8926,1180587
31205,1180257
53006,1177634
37037,1170764
8697,1163976
37645,1161002
21575,1160700
37233,1158573
3216,1156648
205254,1143218
855,1125475
25135,1116646
9009,1114824
140726,1114075
30990,1110665
132471,1105644
21826,1099319
10474,1099285
30689,1089621
12741,1087753
9930,1082904
9873,1081771
42610,1080732
44217,1079963
4809,1076801
131284,1076246
9443,1073556
133612,1072310
58322,1071572
17665,1065618
131267,1060330
14754,1059061
134810,1057534
9269,1051879
9506,1049273
9050,1047438
57269,1046080
5391,1044911
49981,1042293
35753,1032959
11315,1032724
6535,1029704
131178,1028346
14061,1026714
24086,1024384
17465,1021159
2514,1017811
8228,1012051
12083,1010349
140312,1009556
42437,1008485
43197,1003750
7992,1002626
31224,1000448
47377,1000317
24955,998984
11845,997409
11492,995868
6830,995826
37649,985105
28840,978564
12975,972168
28210,962615
327738,961734
12392,960044
8764,959097
56167,957890
37463,951683
9009,949464
45769,947485
63949,946180
28545,938621
202561,928727
7679,923587
9500,922501
23752,922014
21271,917218
52262,914371
12338,912321
25472,907668
13036,907520
17976,900521
42003,890973
4721,887195
18229,884684
27738,878949
56696,875003
36930,874914
38742,870311
12849,869835
2510,865003
1241,862966
327756,861884
138754,852682
136907,851266
136969,845879
36994,843956
12714,833917
30969,829454
21021,825682
24691,825052
6830,822884
9924,820770
37164,818120
45650,817557
140316,817391
133384,814327
15502,812162
11260,810742
5416,809371
37594,808676
16735,808213
5466,802375
14522,802330
15399,801367
134762,801273
8767,800471
28554,798375
37154,797189
32934,795028
27653,792614
17747,790150
29544,789630
14868,787777
6621,784248
8369,784122
25139,782421
4007,781442
44395,779691
9929,778480
16276,778388
38819,773139
21003,772342
7497,770043
9146,767048
2119,765877
15962,763356
35725,763025
15774,761081
131269,759113
140313,754554
135478,754038
11556,753025
52468,751959
1257,749224
137689,748635
12793,745463
55430,745030
6821,737673
35805,734326
52228,733644
16509,732642
45090,732265
37205,728276
57293,727486
28343,724765
21928,724465
132116,723768
23674,722977
17917,721741
16509,718244
34296,717904
328580,716261
9416,714348
40676,711863
10429,709137
6614,706658
59668,706330
4764,703590
9145,702321
13188,702157
15975,700794
37671,699474
45178,698802
12455,697060
17754,694742
14754,694103
14117,693787
52263,686153
134707,685526
8473,685272
25144,684283
27951,683710
9009,683431
136334,682203
140061,678872
328471,677273
27995,676692
63949,676462
55330,675693
15796,675311
9365,674737
50251,673813
8781,672835
198589,667699
50266,667103
8612,664069
198471,663546
38247,662657
35612,661869
9231,661542
11776,661398
58895,661013
37228,661004
327934,655113
31208,653541
61461,651703
803,650657
20473,642577
23487,639388
3737,636963
15964,636873
4181,634441
201019,632634
18207,632234
131090,631873
59989,630456
50223,630200
136525,627438
327802,626098
134426,617864
328453,617227
46573,617167
16591,615205
8422,614287
28812,613224
37526,612273
63526,604805
31252,604622
58969,601156
36945,600302
136480,588748
22995,587686
28649,585009
9304,579343
13110,579189
5645,579175
38322,578396
136190,578256
52260,577597
36996,577405
138655,576414
14638,575197
21859,573550
20207,573143
1901,573032
140310,572463
7522,571173
131111,565019
15958,564612
6079,564595
262197,564327
