,prb_id,country_code,asn_v4
417,1000487,FR,3215.0
418,1000488,GB,13037.0
419,1000489,BR,16735.0
420,1000490,GB,5607.0
421,1000491,NL,8315.0
422,1000492,ZA,327849.0
423,1000494,,6830.0
424,1000495,US,701.0
425,1000499,JP,31898.0
426,10005,NL,3265.0
427,1000500,JP,31898.0
428,1000501,DE,60294.0
429,1000502,GB,12496.0
430,1000503,CH,6730.0
431,1000504,CH,35518.0
432,1000505,CH,13030.0
433,1000506,DE,3320.0
434,1000507,DE,31334.0
435,1000508,FR,21502.0
436,1000509,,24186.0
437,1000510,,9371.0
438,1000511,,9829.0
439,1000512,NL,33915.0
440,1000513,NL,29396.0
441,1000515,US,13830.0
442,1000516,IN,18209.0
443,1000518,DE,56876.0
444,1000519,GB,40676.0
445,1000520,AU,56876.0
446,1000521,CA,10929.0
447,1000522,TW,40676.0
448,1000523,US,40676.0
449,1000524,US,40676.0
450,1000525,US,40676.0
451,1000526,JP,63956.0
452,1000527,SG,199524.0
453,1000528,HK,199524.0
454,1000529,RU,199524.0
455,1000530,DE,16276.0
456,1000531,AT,40980.0
457,1000532,US,7922.0
458,1000533,DE,202113.0
459,1000534,SK,43248.0
460,1000535,RU,199524.0
461,1000536,BG,8866.0
462,1000537,BG,29580.0
463,1000538,FR,12876.0
464,1000540,DE,8937.0
465,1000541,DE,61157.0
466,1000542,DE,61157.0
467,1000543,DE,61157.0
468,1000544,DE,6659.0
469,1000545,DE,6659.0
470,1000546,DE,61157.0
471,1000547,DE,61157.0
472,1000548,NL,49544.0
473,1000549,JP,59105.0
474,1000550,GB,16276.0
475,1000551,TR,20978.0
476,1000553,DE,58212.0
477,1000555,SK,15962.0
478,1000556,IT,208877.0
479,1000557,NL,36352.0
480,1000559,BG,43561.0
481,1000560,DE,24940.0
482,1000561,FR,3215.0
483,1000562,TM,20661.0
484,1000563,DE,3320.0
485,1000564,CZ,197451.0
486,1000565,RU,42765.0
487,1000566,DE,16509.0
488,1000567,NL,204059.0
489,1000568,DE,6805.0
490,1000569,GB,42831.0
491,1000570,GB,6871.0
492,1000571,SE,2119.0
493,1000572,DE,24940.0
494,1000575,CH,51395.0
495,1000577,,3209.0
496,1000578,FR,3215.0
497,1000580,IR,31549.0
498,1000581,FR,3215.0
499,1000582,PT,207002.0
500,1000583,NO,2119.0
501,1000584,DE,24940.0
502,1000585,,5610.0
503,1000586,TR,51559.0
504,1000587,TR,9121.0
505,1000588,,13030.0
506,1000589,UZ,43060.0
507,1000590,CZ,33883.0
508,1000591,FR,
509,1000592,UZ,12365.0
510,1000593,FR,21502.0
511,1000594,,202414.0
512,1000595,NL,1136.0
513,1000596,FR,3215.0
514,1000597,DE,213151.0
515,1000598,IS,44925.0
516,1000599,SG,135134.0
517,10006,GB,5089.0
518,1000600,ES,12479.0
519,1000601,FR,12322.0
520,1000603,IE,5466.0
521,1000604,AT,8447.0
522,1000606,UZ,8193.0
523,1000608,GB,12488.0
524,1000609,DE,24940.0
525,1000610,US,6079.0
526,1000611,BR,28573.0
527,1000612,DE,213151.0
