ASN,Users (est.),CC
15975,697798,PS
133384,694580,MM
14061,692971,CA
61461,691851,VE
21928,690599,PR
37205,686275,NE
15796,684914,CH
8781,683964,QA
59668,683007,UZ
52263,679651,CR
46573,677999,CN
134707,677962,PH
12455,677635,KE
328471,677234,ZA
8473,676876,SE
27951,676817,CO
55330,676561,AF
327708,676395,CD
136334,675320,IN
25144,675016,BA
8612,666184,IT
50251,661233,KG
9365,657316,JP
140061,654020,CN
15964,653899,CM
58895,653375,PK
198471,651432,IT
38247,650268,VN
37228,648953,RW
58969,648669,IN
35612,648531,IT
327934,648259,TN
27995,647140,CL
131090,643139,TH
60068,642660,JP
11776,641363,US
134426,640720,IN
9231,639536,HK
50266,639013,NL
328453,632923,ZA
45178,630994,AF
201019,630984,PL
198589,628891,IQ
37526,628738,BF
23487,628274,EC
18207,626445,IN
136525,626009,PK
327802,621521,TD
4181,619547,US
56696,619479,ZA
50223,618684,KG
3737,617847,US
59989,615245,LB
31252,614147,MD
9145,613995,DE
63526,612092,BD
803,606399,CA
16276,603614,CA
132203,599725,CN
21859,598236,GB
20207,593877,AR
36945,593659,MZ
37113,592059,UG
38322,591086,MY
28649,589844,BR
27813,588404,AR
55990,586928,CN
36996,586730,
131111,585531,ID
9304,584777,HK
22995,583889,CA
16591,581596,US
52260,578382,HT
5645,577849,CA
31208,577815,RU
9009,577113,CN
9158,576047,DK
32934,575337,SE
12552,572550,SE
20485,571044,RU
16058,570235,GA
23889,568841,MU
13110,568605,PL
8422,568286,DE
140310,566925,CN
262197,566779,CR
6503,565925,MX
9009,564513,BR
15958,563781,RS
29247,563499,GR
27884,561484,HN
138655,557633,PK
42560,555814,BA
1901,553730,AT
35807,553009,RU
23688,551887,BD
10396,551228,PR
29119,549226,ES
198735,548657,IQ
201749,548542,IQ
10429,548132,BR
43612,547747,MK
6079,547226,US
14638,546603,PR
36991,546255,UG
33576,545849,JM
16509,544372,US
7522,543926,JP
11290,542706,CA
174,541666,US
58460,537857,PG
41733,536128,RU
12552,535272,NO
52361,535256,AR
3249,534811,EE
135887,533572,AU
22724,532756,EC
27773,530494,SV
37340,530279,NG
33765,530256,TZ
58461,529031,CN
33588,528123,US
4773,527464,SG
199524,527453,RU
45960,526289,MY
17828,524587,PG
327799,524566,BI
28075,523041,AR
328088,522897,ZW
9051,520563,LB
51018,520046,IQ
12334,519430,ES
132618,519332,TH
47237,516146,KG
4609,515711,MO
139831,515231,PH
17882,513513,MN
133798,512613,ID
9009,512568,FR
5603,508014,SI
55714,506766,PK
55699,505608,ID
10036,502946,KR
3212,502684,SI
38841,501381,TW
45528,501070,IN
