prb_id,timestamp,resultset.result.rt,dst_addr,subid,country_code,asn_v4
10553,2020-01-01 04:00:25,270.926,2001:558:feed::1,1,US,7922.0
10553,2020-01-01 04:00:25,270.935,75.75.75.75,2,US,7922.0
10553,2020-01-01 04:00:25,368.415,75.75.76.76,3,US,7922.0
11148,2020-01-01 04:00:15,57.854,8.8.8.8,1,NO,199339.0
11148,2020-01-01 04:00:15,52.81800000000001,8.8.4.4,2,NO,199339.0
11501,2020-01-01 04:00:49,59.65600000000001,10.2.190.153,1,RU,196847.0
11501,2020-01-01 04:00:49,129.69299999999998,10.2.190.154,2,RU,196847.0
11639,2020-01-01 04:00:55,28.085,192.168.1.102,1,BE,5432.0
11639,2020-01-01 04:00:55,19.922,192.168.1.103,2,BE,5432.0
11639,2020-01-01 04:00:55,16.632,192.168.1.249,3,BE,5432.0
12092,2020-01-01 04:00:44,56.813,192.168.5.15,1,DE,3320.0
12092,2020-01-01 04:00:44,60.426,192.168.5.1,2,DE,3320.0
15961,2020-01-01 04:00:10,244.397,2606:4700:4700::1111,2,US,15088.0
15961,2020-01-01 04:00:10,477.832,74.115.181.10,3,US,15088.0
16149,2020-01-01 04:00:22,20.784,192.168.178.1,1,DE,6805.0
17021,2020-01-01 04:00:53,51.465,2a01:cb19:8dda:5c00:720b:1ff:fec1:cab0,1,FR,3215.0
17021,2020-01-01 04:00:53,0.7509999999999999,192.168.1.1,2,FR,3215.0
17127,2020-01-01 04:00:33,26.83,192.168.1.1,1,FR,
17127,2020-01-01 04:00:33,1.967,2a02:8429:82aa:9401::1,2,FR,
17294,2020-01-01 04:00:58,13.517,109.88.203.3,1,BE,12392.0
17294,2020-01-01 04:00:58,22.861,62.197.111.140,2,BE,12392.0
17587,2020-01-01 04:00:24,588.4580000000002,192.168.1.15,1,US,11404.0
20030,2020-01-01 04:00:40,163.467,2001:568:ff09:10c::53,1,CA,852.0
20030,2020-01-01 04:00:40,406.561,192.168.1.254,2,CA,852.0
20030,2020-01-01 04:00:40,4.666,2001:568:ff09:10a::114,3,CA,852.0
2198,2020-01-01 04:00:21,53.18899999999999,192.168.10.1,1,RO,8708.0
22129,2020-01-01 04:00:03,395.97,192.168.1.1,1,US,10796.0
23310,2020-01-01 04:00:05,33.756,8.8.8.8,1,FR,5410.0
23310,2020-01-01 04:00:05,25.457,8.8.4.4,2,FR,5410.0
31875,2020-01-01 04:00:51,18.806,192.168.9.1,1,DE,12611.0
33630,2020-01-01 04:00:37,294.529,192.168.6.1,1,AM,44395.0
35653,2020-01-01 04:00:07,18.633,192.168.100.1,1,NL,57112.0
3854,2020-01-01 04:00:38,84.145,192.168.1.1,1,RU,25513.0
50455,2020-01-01 04:00:48,335.031,192.168.1.15,1,US,701.0
50455,2020-01-01 04:00:48,14.825,1.1.1.1,2,US,701.0
50488,2020-01-01 04:00:28,133.672,192.168.0.1,1,US,209.0
50488,2020-01-01 04:00:28,4.394,192.168.0.1,2,US,209.0
50592,2020-01-01 04:00:52,655.5089999999999,2a02:1203:ecaa:1430:dafb:5eff:feda:77b0,1,CH,12684.0
50592,2020-01-01 04:00:52,1.122,192.168.3.1,2,CH,12684.0
50793,2020-01-01 04:00:19,191.273,fd34:93d8:3fb1:92::1,1,NO,29695.0
50793,2020-01-01 04:00:19,1.3030000000000002,192.168.92.1,2,NO,29695.0
6289,2020-01-01 04:00:45,828.414,::1,1,US,15133.0
6289,2020-01-01 04:00:45,296.7270000000001,2620:74:1b::1:1,2,US,15133.0
6289,2020-01-01 04:00:45,86.51899999999998,8.8.8.8,3,US,15133.0
807,2020-01-01 04:00:34,99.312,10.1.0.1,1,NO,2119.0
10101,2020-01-01 04:01:46,17.113,10.0.1.44,1,NL,33915.0
12156,2020-01-01 04:01:14,109.3,108.166.149.2,1,US,30036.0
12156,2020-01-01 04:01:14,19.976,108.166.149.3,3,US,30036.0
15087,2020-01-01 04:01:58,40.744,192.168.1.1,1,DE,3209.0
15087,2020-01-01 04:01:58,29.82,8.8.8.8,2,DE,3209.0
15087,2020-01-01 04:01:58,39.018,8.8.4.4,3,DE,3209.0
16646,2020-01-01 04:01:19,45.778,8.8.8.8,1,CZ,198167.0
16646,2020-01-01 04:01:19,19.229,8.8.4.4,2,CZ,198167.0
17502,2020-01-01 04:01:07,42.50100000000001,2a01:e00::1,1,FR,12322.0
17502,2020-01-01 04:01:07,20.372,192.168.10.1,2,FR,12322.0
17502,2020-01-01 04:01:07,48.608,192.168.10.11,3,FR,12322.0
18544,2020-01-01 04:01:37,39.595,192.168.3.1,1,AD,6752.0
18696,2020-01-01 04:01:53,20.937,192.168.1.1,1,CZ,56427.0
20121,2020-01-01 04:01:23,18.854,178.19.223.1,1,DE,50324.0
20121,2020-01-01 04:01:23,18.902,178.19.223.2,2,DE,50324.0
20151,2020-01-01 04:01:28,683.555,63.216.0.5,1,SG,3491.0
20151,2020-01-01 04:01:28,1177.285,8.8.8.8,2,SG,3491.0
20151,2020-01-01 04:01:28,1166.968,8.8.4.4,3,SG,3491.0
20973,2020-01-01 04:01:21,163.33,10.1.1.100,1,SK,58328.0
20973,2020-01-01 04:01:21,38.239,188.123.97.2,2,SK,58328.0
20973,2020-01-01 04:01:21,10.300999999999998,188.123.106.66,3,SK,58328.0
22702,2020-01-01 04:01:02,1268.442,1.1.1.1,1,BR,28573.0
22702,2020-01-01 04:01:02,846.008,8.8.8.8,2,BR,28573.0
22702,2020-01-01 04:01:02,1189.381,189.38.95.96,3,BR,28573.0
22906,2020-01-01 04:01:50,8.509,2001:4860:4860::8888,1,DE,34081.0
22906,2020-01-01 04:01:50,18.13,2001:4860:4860::8844,2,DE,34081.0
22906,2020-01-01 04:01:50,31.964,84.33.0.251,3,DE,34081.0
23108,2020-01-01 04:01:13,267.655,2001:558:feed::1,1,US,7922.0
23108,2020-01-01 04:01:13,353.478,75.75.75.75,2,US,7922.0
23108,2020-01-01 04:01:13,100.85,2001:558:feed::2,3,US,7922.0
23252,2020-01-01 04:01:03,177.08,10.78.110.254,1,FR,210199.0
23907,2020-01-01 04:01:13,23.53,2a0e:b107:2b:f00d::1,1,DE,
23907,2020-01-01 04:01:13,0.552,192.168.1.1,2,DE,
24070,2020-01-01 04:01:17,58.346,192.168.1.1,1,IT,15589.0
266,2020-01-01 04:01:58,148.974,213.182.0.3,2,DE,12931.0
266,2020-01-01 04:01:58,38.569,213.182.0.2,3,DE,12931.0
26732,2020-01-01 04:01:18,30.585,2a01:cb14:73b:eb00:b298:2bff:fec2:cf12,1,FR,3215.0
26732,2020-01-01 04:01:18,0.762,192.168.1.1,2,FR,3215.0
27148,2020-01-01 04:01:49,568.995,8.8.8.8,1,US,54858.0
